Time,HR,Skin_Temp,GSR,AirTemp,Movement,HR_stdv,GSR_stdv,unkown_stdv
2020-11-10 18:30:59,82.30434782608695,93,6.965125745521119e-08,6706865,101,1.3967285568877401,1.7822890223594852e-08,5026558.182240607
2020-11-10 18:31:59,82.82758620689656,93,6.930608881866323e-08,7771021.25,135,0.6469538979066799,1.790752492786901e-08,6301787.882831839
2020-11-10 18:32:59,77.81481481481481,93,7.019777529092209e-08,4609465.5,402,3.4964218433202805,1.9065650448364153e-08,4037154.4008187563
2020-11-10 18:33:59,75.8,93,6.979499243963528e-08,5592733.5,137,5.075431016179809,1.7790762804271336e-08,4098234.526620243
2020-11-10 18:34:59,67.58536585365853,93,6.943175825537734e-08,6543765.5,246,8.006020934747456,1.7531084845310443e-08,4804436.124838611
2020-11-10 18:35:59,79.86440677966101,93,6.546880626699734e-08,7494285.75,141,9.485863928952286,9.8567869859703e-10,5941058.1220293315
2020-11-10 18:36:59,78.75,93,6.540870272308093e-08,4348066,83,0.6614378277661477,1.3391270883262418e-09,4095888.338430505
2020-11-10 18:37:59,79,93,6.575324826508761e-08,5445534,206,11.0,1.1175609773401855e-09,4177265.2469177726
2020-11-10 18:38:59,71.33333333333333,93.08333333333333,6.624838699331699e-08,6328482,215,13.199326582148887,1.347106937155789e-09,4605902.282926441
2020-11-10 18:39:59,83,93.41666666666667,6.658839072527316e-08,7232646,303,0.0,6.462175403539154e-10,5603143.922439526
2020-11-10 18:40:59,82.71698113207547,93.58333333333333,6.638570389194846e-08,4019850.25,116,1.8364995260217094,6.539294542859338e-10,4123590.3210592694
2020-11-10 18:42:59,78.88888888888889,93,1.226535491992013e-07,6034582.5,303,0.4581228472908512,3.3813266165338454e-08,4355535.786910291
2020-11-10 18:43:59,84,93,8.293277300540996e-08,6955914.75,101,0.0,3.5445810791470204e-08,5270870.804787639
2020-11-10 18:44:59,,93,7.221194594118134e-08,3694778.75,509,,2.0772661776012333e-08,4234315.520268085
2020-11-10 18:47:59,81,93,6.521355096466197e-08,6725519,102,0.0,6.611004249188553e-09,4997570.649702313
2020-11-10 18:48:59,82.17647058823529,93,6.372189431825158e-08,7611055,505,1.9921993202207176,6.149291505441482e-10,6184360.201042465
2020-11-10 18:49:59,83,93,6.605775974192056e-08,4430787.25,186,0.0,8.97446119280737e-09,3863460.581328246
2020-11-10 18:50:59,85.9,92.33333333333333,1.10274305462233e-07,5841571.25,51,0.43588989435406733,5.7629366873311725e-08,4532667.6303163
2020-11-10 18:51:59,83.95833333333333,91.83333333333333,1.0736817537907579e-07,6820527,140,0.19982631347136331,3.990020065968876e-08,5275655.284716345
2020-11-10 18:52:59,78.54716981132076,91.08333333333333,1.1710439092624599e-07,7631007.25,186,5.1158873434416785,4.85489905039101e-08,6072049.969071663
2020-11-10 18:53:59,82,91,6.906778578551776e-08,4236679.5,63,5.0990195135927845,1.2687108079519744e-08,4048082.904704429
2020-11-10 18:54:59,85.68888888888888,91.66666666666667,7.330920748158661e-08,5679755.5,285,0.8385761006272536,2.8313689023707444e-08,4597014.001655014
2020-11-10 18:55:59,81.36363636363636,91.91666666666667,1.0487355178000776e-07,7045299.5,423,2.2872264773471134,4.355211274136113e-08,5536377.008526447
2020-11-10 18:56:59,,92,1.3495064398225755e-07,5454039.5,277,,2.01673197316645e-08,5062850.900335131
2020-11-10 18:57:59,82.49122807017544,91.33333333333333,1.2403804015013154e-07,2324679.75,68,1.7782586299527803,2.2831975157088405e-08,1366352.1457860663
2020-11-10 18:58:59,86.61538461538461,91,1.1673601641760675e-07,3209435.75,356,1.1235334512926485,1.770684342192693e-08,1516854.0321125786
2020-11-10 18:59:59,86.39024390243902,91.5,1.250611546937833e-07,4098791.75,200,2.173880971234848,2.1051951225266073e-08,3003821.8165966813
2020-11-10 19:01:59,,92,9.418821954510062e-08,7069223.5,744,,4.634048755024565e-08,6715856.853072231
2020-11-10 19:02:59,57.125,92.5,1.1389529816096563e-07,1966335.5,753,1.5761900266148114,3.336179833042844e-08,1426568.2186494798
2020-11-10 19:05:59,,91.25,7.566306370890415e-08,4863718.5,523,,2.5547815272234433e-08,6396576.104923067
